Event Type,Event Size (Attendees),Event Duration (Days),Event Schedule (Start - End),Event Date (Start),Event Date (End),"Participant Demographics (Age, Location, Interests)","Participant Engagement Metrics (Attendance, Feedback)"
Trade Show,2729,2,10:00 - 18:00,2024-10-12,2024-10-13,"25-50, Delhi, Business","85%, Positive"
Festival,5785,4,09:00 - 17:00,2025-01-21,2025-01-24,"18-35, Maharashtra, Arts","80%, Negative"
Seminar,266,1,09:00 - 17:00,2024-12-10,2024-12-10,"30-60, Bangalore, Education","85%, Positive"
Festival,2406,1,09:00 - 17:00,2024-10-05,2024-10-05,"18-25, Indore, Tech","95%, Positive"
Festival,4384,2,10:00 - 18:00,2025-01-14,2025-01-15,"18-25, Indore, Tech","70%, Negative"
Festival,4509,2,09:00 - 17:00,2024-11-27,2024-11-28,"30-60, Bangalore, Education","95%, Positive"
Seminar,688,1,09:00 - 17:00,2024-12-11,2024-12-11,"25-50, Delhi, Business","75%, Neutral"
Trade Show,1594,1,14:00 - 20:00,2024-12-29,2024-12-29,"25-50, Delhi, Business","80%, Negative"
Conference,596,3,09:00 - 17:00,2024-11-06,2024-11-08,"30-60, Bangalore, Education","85%, Positive"
Conference,1789,4,10:00 - 18:00,2024-11-09,2024-11-12,"18-25, Indore, Tech","70%, Negative"
Trade Show,1880,4,10:00 - 18:00,2024-12-22,2024-12-25,"25-50, Delhi, Business","85%, Positive"
Seminar,484,3,09:00 - 17:00,2024-12-14,2024-12-16,"18-25, Indore, Tech","85%, Positive"
Trade Show,1591,4,14:00 - 20:00,2024-10-28,2024-10-31,"20-45, Mumbai, Sports","75%, Neutral"
Festival,4305,4,09:00 - 17:00,2024-12-01,2024-12-04,"20-45, Mumbai, Sports","70%, Negative"
Seminar,392,4,10:00 - 18:00,2024-10-27,2024-10-30,"20-45, Mumbai, Sports","75%, Neutral"
Conference,1464,4,09:00 - 17:00,2024-12-16,2024-12-19,"18-35, Maharashtra, Arts","70%, Negative"
Festival,1825,1,14:00 - 20:00,2024-10-09,2024-10-09,"25-50, Delhi, Business","75%, Neutral"
Festival,2839,3,14:00 - 20:00,2024-12-09,2024-12-11,"18-25, Indore, Tech","95%, Positive"
Festival,6628,3,10:00 - 18:00,2024-10-29,2024-10-31,"30-60, Bangalore, Education","80%, Negative"
Conference,352,3,09:00 - 17:00,2024-10-04,2024-10-06,"25-50, Delhi, Business","80%, Negative"
Festival,4279,4,09:00 - 17:00,2024-11-19,2024-11-22,"20-45, Mumbai, Sports","95%, Positive"
Trade Show,2236,3,14:00 - 20:00,2024-11-06,2024-11-08,"25-50, Delhi, Business","70%, Negative"
Trade Show,2865,1,12:00 - 22:00,2024-11-21,2024-11-21,"18-35, Maharashtra, Arts","75%, Neutral"
Trade Show,865,2,12:00 - 22:00,2025-01-02,2025-01-03,"30-60, Bangalore, Education","85%, Positive"
Conference,674,2,09:00 - 17:00,2025-01-14,2025-01-15,"25-50, Delhi, Business","70%, Negative"
Festival,3790,1,12:00 - 22:00,2025-01-07,2025-01-07,"30-60, Bangalore, Education","85%, Positive"
Festival,5081,3,10:00 - 18:00,2024-12-06,2024-12-08,"30-60, Bangalore, Education","85%, Positive"
Seminar,877,2,09:00 - 17:00,2024-11-11,2024-11-12,"25-50, Delhi, Business","85%, Positive"
Trade Show,1589,4,12:00 - 22:00,2025-01-15,2025-01-18,"25-50, Delhi, Business","70%, Negative"
Conference,569,3,09:00 - 17:00,2024-11-25,2024-11-27,"20-45, Mumbai, Sports","75%, Neutral"
Trade Show,2812,2,10:00 - 18:00,2024-12-05,2024-12-06,"25-50, Delhi, Business","95%, Positive"
Festival,2968,1,12:00 - 22:00,2024-12-04,2024-12-04,"30-60, Bangalore, Education","70%, Negative"
Conference,1650,3,09:00 - 17:00,2024-10-23,2024-10-25,"30-60, Bangalore, Education","75%, Neutral"
Conference,1516,4,09:00 - 17:00,2024-10-21,2024-10-24,"30-60, Bangalore, Education","85%, Positive"
Trade Show,1180,1,10:00 - 18:00,2024-10-27,2024-10-27,"25-50, Delhi, Business","80%, Negative"
Trade Show,1395,3,14:00 - 20:00,2025-01-15,2025-01-17,"20-45, Mumbai, Sports","75%, Neutral"
Conference,1289,2,10:00 - 18:00,2024-11-29,2024-11-30,"30-60, Bangalore, Education","80%, Negative"
Festival,603,4,14:00 - 20:00,2024-10-31,2024-11-03,"20-45, Mumbai, Sports","85%, Positive"
Trade Show,942,1,14:00 - 20:00,2024-12-29,2024-12-29,"30-60, Bangalore, Education","85%, Positive"
Festival,5020,2,10:00 - 18:00,2024-10-07,2024-10-08,"30-60, Bangalore, Education","85%, Positive"
Festival,3537,4,10:00 - 18:00,2024-11-26,2024-11-29,"18-35, Maharashtra, Arts","85%, Positive"
Conference,1476,3,10:00 - 18:00,2025-01-01,2025-01-03,"25-50, Delhi, Business","85%, Positive"
Festival,2261,2,14:00 - 20:00,2024-10-01,2024-10-02,"25-50, Delhi, Business","75%, Neutral"
Trade Show,2063,3,14:00 - 20:00,2025-01-09,2025-01-11,"30-60, Bangalore, Education","70%, Negative"
Seminar,716,2,12:00 - 22:00,2024-12-05,2024-12-06,"20-45, Mumbai, Sports","70%, Negative"
Festival,6130,2,12:00 - 22:00,2025-01-03,2025-01-04,"30-60, Bangalore, Education","70%, Negative"
Seminar,437,1,12:00 - 22:00,2024-12-03,2024-12-03,"20-45, Mumbai, Sports","75%, Neutral"
Seminar,325,1,12:00 - 22:00,2024-11-19,2024-11-19,"18-35, Maharashtra, Arts","70%, Negative"
Trade Show,1007,2,14:00 - 20:00,2025-01-17,2025-01-18,"18-35, Maharashtra, Arts","70%, Negative"
Festival,4186,2,09:00 - 17:00,2024-12-21,2024-12-22,"18-35, Maharashtra, Arts","80%, Negative"
Festival,6278,3,14:00 - 20:00,2024-11-17,2024-11-19,"18-35, Maharashtra, Arts","80%, Negative"
Festival,2526,1,10:00 - 18:00,2025-01-03,2025-01-03,"18-25, Indore, Tech","95%, Positive"
Festival,2405,1,12:00 - 22:00,2025-01-09,2025-01-09,"18-35, Maharashtra, Arts","75%, Neutral"
Conference,1139,3,09:00 - 17:00,2025-01-18,2025-01-20,"18-25, Indore, Tech","75%, Neutral"
Seminar,327,3,12:00 - 22:00,2025-01-07,2025-01-09,"20-45, Mumbai, Sports","70%, Negative"
Seminar,510,2,12:00 - 22:00,2024-12-04,2024-12-05,"30-60, Bangalore, Education","95%, Positive"
Seminar,477,2,09:00 - 17:00,2025-01-16,2025-01-17,"18-25, Indore, Tech","70%, Negative"
Seminar,426,1,10:00 - 18:00,2025-01-29,2025-01-29,"30-60, Bangalore, Education","75%, Neutral"
Seminar,829,4,12:00 - 22:00,2025-01-16,2025-01-19,"18-25, Indore, Tech","95%, Positive"
Seminar,511,1,09:00 - 17:00,2024-10-25,2024-10-25,"18-35, Maharashtra, Arts","80%, Negative"
Seminar,792,2,09:00 - 17:00,2024-11-11,2024-11-12,"20-45, Mumbai, Sports","70%, Negative"
Festival,2875,1,10:00 - 18:00,2024-11-16,2024-11-16,"30-60, Bangalore, Education","75%, Neutral"
Trade Show,1801,1,12:00 - 22:00,2024-10-03,2024-10-03,"30-60, Bangalore, Education","95%, Positive"
Trade Show,2978,4,10:00 - 18:00,2024-10-12,2024-10-15,"25-50, Delhi, Business","75%, Neutral"
Festival,5277,2,10:00 - 18:00,2025-01-11,2025-01-12,"20-45, Mumbai, Sports","80%, Negative"
Trade Show,2287,4,14:00 - 20:00,2024-11-13,2024-11-16,"25-50, Delhi, Business","70%, Negative"
Festival,889,4,14:00 - 20:00,2024-12-31,2025-01-03,"18-25, Indore, Tech","85%, Positive"
Festival,830,3,09:00 - 17:00,2025-01-13,2025-01-15,"18-35, Maharashtra, Arts","75%, Neutral"
Seminar,1196,1,09:00 - 17:00,2024-11-15,2024-11-15,"18-35, Maharashtra, Arts","80%, Negative"
Festival,6338,2,14:00 - 20:00,2025-01-06,2025-01-07,"25-50, Delhi, Business","70%, Negative"
Trade Show,589,3,14:00 - 20:00,2025-01-18,2025-01-20,"25-50, Delhi, Business","70%, Negative"
Trade Show,2048,1,10:00 - 18:00,2025-01-18,2025-01-18,"18-35, Maharashtra, Arts","95%, Positive"
Seminar,748,1,12:00 - 22:00,2024-11-04,2024-11-04,"18-35, Maharashtra, Arts","70%, Negative"
Conference,576,4,10:00 - 18:00,2025-01-11,2025-01-14,"18-35, Maharashtra, Arts","85%, Positive"
Conference,1248,4,09:00 - 17:00,2024-11-16,2024-11-19,"30-60, Bangalore, Education","80%, Negative"
Festival,2150,4,09:00 - 17:00,2024-10-02,2024-10-05,"25-50, Delhi, Business","85%, Positive"
Festival,6478,3,10:00 - 18:00,2024-12-27,2024-12-29,"20-45, Mumbai, Sports","80%, Negative"
Seminar,479,4,12:00 - 22:00,2024-10-02,2024-10-05,"20-45, Mumbai, Sports","95%, Positive"
Festival,4341,4,14:00 - 20:00,2025-01-02,2025-01-05,"20-45, Mumbai, Sports","85%, Positive"
Conference,1077,3,10:00 - 18:00,2024-11-29,2024-12-01,"18-35, Maharashtra, Arts","75%, Neutral"
Trade Show,2507,2,12:00 - 22:00,2024-11-12,2024-11-13,"30-60, Bangalore, Education","95%, Positive"
Conference,1633,3,10:00 - 18:00,2024-11-04,2024-11-06,"18-35, Maharashtra, Arts","95%, Positive"
Seminar,1004,3,12:00 - 22:00,2025-01-02,2025-01-04,"20-45, Mumbai, Sports","85%, Positive"
Seminar,94,2,10:00 - 18:00,2025-01-01,2025-01-02,"18-35, Maharashtra, Arts","85%, Positive"
Trade Show,626,2,14:00 - 20:00,2024-12-27,2024-12-28,"25-50, Delhi, Business","85%, Positive"
Trade Show,2759,1,10:00 - 18:00,2024-12-12,2024-12-12,"18-25, Indore, Tech","70%, Negative"
Trade Show,2884,2,12:00 - 22:00,2024-12-08,2024-12-09,"18-35, Maharashtra, Arts","85%, Positive"
Festival,5806,4,14:00 - 20:00,2025-01-01,2025-01-04,"30-60, Bangalore, Education","70%, Negative"
Conference,1975,4,09:00 - 17:00,2024-10-06,2024-10-09,"20-45, Mumbai, Sports","70%, Negative"
Trade Show,1704,3,10:00 - 18:00,2024-10-19,2024-10-21,"20-45, Mumbai, Sports","95%, Positive"
Seminar,101,3,12:00 - 22:00,2024-10-02,2024-10-04,"20-45, Mumbai, Sports","95%, Positive"
Festival,6900,3,10:00 - 18:00,2024-11-13,2024-11-15,"18-35, Maharashtra, Arts","70%, Negative"
Seminar,1121,4,09:00 - 17:00,2024-12-07,2024-12-10,"18-25, Indore, Tech","70%, Negative"
Trade Show,930,3,14:00 - 20:00,2024-10-22,2024-10-24,"18-25, Indore, Tech","95%, Positive"
Festival,3881,3,10:00 - 18:00,2025-01-06,2025-01-08,"18-25, Indore, Tech","70%, Negative"
Seminar,1142,1,12:00 - 22:00,2024-11-21,2024-11-21,"18-35, Maharashtra, Arts","80%, Negative"
Festival,4236,2,12:00 - 22:00,2024-10-17,2024-10-18,"18-35, Maharashtra, Arts","85%, Positive"
Conference,1031,2,09:00 - 17:00,2025-01-27,2025-01-28,"18-25, Indore, Tech","80%, Negative"
Conference,1610,3,09:00 - 17:00,2024-11-07,2024-11-09,"18-25, Indore, Tech","85%, Positive"
Festival,6545,2,12:00 - 22:00,2024-12-19,2024-12-20,"30-60, Bangalore, Education","80%, Negative"
Conference,1136,2,09:00 - 17:00,2024-11-08,2024-11-09,"25-50, Delhi, Business","85%, Positive"
Seminar,946,2,12:00 - 22:00,2024-10-12,2024-10-13,"25-50, Delhi, Business","80%, Negative"
Trade Show,2933,1,10:00 - 18:00,2025-01-28,2025-01-28,"20-45, Mumbai, Sports","95%, Positive"
Seminar,453,4,10:00 - 18:00,2024-11-26,2024-11-29,"18-25, Indore, Tech","80%, Negative"
Trade Show,2262,2,14:00 - 20:00,2024-11-05,2024-11-06,"25-50, Delhi, Business","80%, Negative"
Conference,1285,2,09:00 - 17:00,2024-11-22,2024-11-23,"20-45, Mumbai, Sports","75%, Neutral"
Trade Show,1076,2,12:00 - 22:00,2024-10-09,2024-10-10,"20-45, Mumbai, Sports","95%, Positive"
Seminar,496,1,09:00 - 17:00,2024-12-09,2024-12-09,"18-25, Indore, Tech","75%, Neutral"
Festival,1183,4,12:00 - 22:00,2024-11-11,2024-11-14,"18-25, Indore, Tech","95%, Positive"
Conference,964,3,10:00 - 18:00,2024-11-03,2024-11-05,"18-25, Indore, Tech","80%, Negative"
Seminar,523,2,12:00 - 22:00,2024-10-14,2024-10-15,"18-25, Indore, Tech","95%, Positive"
Seminar,1013,4,12:00 - 22:00,2024-11-06,2024-11-09,"20-45, Mumbai, Sports","75%, Neutral"
Trade Show,2401,3,14:00 - 20:00,2024-12-21,2024-12-23,"30-60, Bangalore, Education","70%, Negative"
Trade Show,2938,1,12:00 - 22:00,2025-01-29,2025-01-29,"30-60, Bangalore, Education","75%, Neutral"
Seminar,409,2,09:00 - 17:00,2024-12-09,2024-12-10,"30-60, Bangalore, Education","95%, Positive"
Conference,911,2,10:00 - 18:00,2024-10-28,2024-10-29,"20-45, Mumbai, Sports","75%, Neutral"
Seminar,1084,3,10:00 - 18:00,2024-11-17,2024-11-19,"25-50, Delhi, Business","70%, Negative"
Festival,1093,2,09:00 - 17:00,2025-01-25,2025-01-26,"18-35, Maharashtra, Arts","75%, Neutral"
Seminar,815,2,10:00 - 18:00,2025-01-12,2025-01-13,"25-50, Delhi, Business","80%, Negative"
Festival,3545,4,14:00 - 20:00,2024-12-27,2024-12-30,"30-60, Bangalore, Education","75%, Neutral"
Seminar,323,4,12:00 - 22:00,2024-11-05,2024-11-08,"25-50, Delhi, Business","70%, Negative"
Seminar,817,2,10:00 - 18:00,2025-01-03,2025-01-04,"18-25, Indore, Tech","75%, Neutral"
Trade Show,1268,1,10:00 - 18:00,2024-11-07,2024-11-07,"30-60, Bangalore, Education","80%, Negative"
Conference,657,2,09:00 - 17:00,2024-11-19,2024-11-20,"20-45, Mumbai, Sports","85%, Positive"
Conference,1831,2,10:00 - 18:00,2024-12-10,2024-12-11,"18-25, Indore, Tech","95%, Positive"
Trade Show,1857,1,10:00 - 18:00,2024-12-16,2024-12-16,"18-25, Indore, Tech","85%, Positive"
Festival,3608,1,09:00 - 17:00,2024-10-23,2024-10-23,"20-45, Mumbai, Sports","80%, Negative"
Festival,2987,3,14:00 - 20:00,2025-01-07,2025-01-09,"30-60, Bangalore, Education","85%, Positive"
Conference,524,2,10:00 - 18:00,2024-11-20,2024-11-21,"18-25, Indore, Tech","80%, Negative"
Seminar,1171,3,12:00 - 22:00,2024-12-10,2024-12-12,"18-35, Maharashtra, Arts","80%, Negative"
Conference,1328,2,10:00 - 18:00,2024-11-30,2024-12-01,"18-25, Indore, Tech","85%, Positive"
Trade Show,605,3,14:00 - 20:00,2025-01-13,2025-01-15,"18-25, Indore, Tech","70%, Negative"
Trade Show,819,3,14:00 - 20:00,2025-01-13,2025-01-15,"25-50, Delhi, Business","85%, Positive"
Trade Show,2795,4,14:00 - 20:00,2024-10-27,2024-10-30,"18-25, Indore, Tech","80%, Negative"
Seminar,614,3,10:00 - 18:00,2024-10-09,2024-10-11,"25-50, Delhi, Business","95%, Positive"
Seminar,545,1,10:00 - 18:00,2024-11-03,2024-11-03,"25-50, Delhi, Business","80%, Negative"
Festival,5187,2,09:00 - 17:00,2024-11-04,2024-11-05,"18-25, Indore, Tech","85%, Positive"
Trade Show,637,4,14:00 - 20:00,2024-12-22,2024-12-25,"30-60, Bangalore, Education","75%, Neutral"
Seminar,547,3,09:00 - 17:00,2024-10-17,2024-10-19,"30-60, Bangalore, Education","80%, Negative"
Seminar,366,4,09:00 - 17:00,2024-10-15,2024-10-18,"18-25, Indore, Tech","85%, Positive"
Trade Show,1101,4,12:00 - 22:00,2024-11-13,2024-11-16,"25-50, Delhi, Business","95%, Positive"
Trade Show,1401,2,12:00 - 22:00,2024-10-10,2024-10-11,"18-25, Indore, Tech","70%, Negative"
Seminar,801,3,10:00 - 18:00,2024-11-21,2024-11-23,"30-60, Bangalore, Education","85%, Positive"
Trade Show,1907,4,12:00 - 22:00,2024-11-23,2024-11-26,"18-35, Maharashtra, Arts","95%, Positive"
Trade Show,531,3,10:00 - 18:00,2024-10-01,2024-10-03,"18-35, Maharashtra, Arts","85%, Positive"
Festival,1780,1,14:00 - 20:00,2024-12-19,2024-12-19,"18-25, Indore, Tech","85%, Positive"
Trade Show,1852,3,14:00 - 20:00,2024-12-26,2024-12-28,"18-35, Maharashtra, Arts","75%, Neutral"
Conference,1277,3,10:00 - 18:00,2024-12-09,2024-12-11,"25-50, Delhi, Business","85%, Positive"
Festival,5351,1,10:00 - 18:00,2025-01-19,2025-01-19,"30-60, Bangalore, Education","75%, Neutral"
Seminar,451,4,09:00 - 17:00,2025-01-14,2025-01-17,"25-50, Delhi, Business","80%, Negative"
Trade Show,1822,3,14:00 - 20:00,2024-12-11,2024-12-13,"30-60, Bangalore, Education","75%, Neutral"
Seminar,1177,2,09:00 - 17:00,2024-12-12,2024-12-13,"30-60, Bangalore, Education","75%, Neutral"
Festival,2866,3,14:00 - 20:00,2024-11-19,2024-11-21,"30-60, Bangalore, Education","85%, Positive"
Seminar,709,4,10:00 - 18:00,2024-10-28,2024-10-31,"30-60, Bangalore, Education","75%, Neutral"
Conference,1862,2,10:00 - 18:00,2024-11-19,2024-11-20,"25-50, Delhi, Business","75%, Neutral"
Trade Show,2014,2,14:00 - 20:00,2024-11-19,2024-11-20,"30-60, Bangalore, Education","95%, Positive"
Trade Show,539,4,14:00 - 20:00,2024-12-27,2024-12-30,"20-45, Mumbai, Sports","70%, Negative"
Festival,4976,1,12:00 - 22:00,2025-01-07,2025-01-07,"18-35, Maharashtra, Arts","70%, Negative"
Trade Show,1403,1,10:00 - 18:00,2024-10-30,2024-10-30,"18-25, Indore, Tech","80%, Negative"
Seminar,951,4,10:00 - 18:00,2025-01-02,2025-01-05,"18-35, Maharashtra, Arts","85%, Positive"
Seminar,1162,3,10:00 - 18:00,2024-10-16,2024-10-18,"18-35, Maharashtra, Arts","70%, Negative"
Seminar,676,4,10:00 - 18:00,2024-10-30,2024-11-02,"30-60, Bangalore, Education","95%, Positive"
Seminar,213,4,12:00 - 22:00,2024-11-21,2024-11-24,"30-60, Bangalore, Education","95%, Positive"
Festival,4555,2,10:00 - 18:00,2024-10-18,2024-10-19,"30-60, Bangalore, Education","70%, Negative"
Seminar,985,2,09:00 - 17:00,2024-10-11,2024-10-12,"30-60, Bangalore, Education","75%, Neutral"
Conference,1073,3,09:00 - 17:00,2024-12-02,2024-12-04,"20-45, Mumbai, Sports","80%, Negative"
Trade Show,2659,3,14:00 - 20:00,2024-11-10,2024-11-12,"18-25, Indore, Tech","95%, Positive"
Festival,6062,4,12:00 - 22:00,2024-11-02,2024-11-05,"30-60, Bangalore, Education","80%, Negative"
Seminar,496,3,09:00 - 17:00,2024-11-16,2024-11-18,"18-35, Maharashtra, Arts","75%, Neutral"
Trade Show,1292,2,12:00 - 22:00,2025-01-23,2025-01-24,"25-50, Delhi, Business","85%, Positive"
Conference,1202,2,10:00 - 18:00,2024-12-28,2024-12-29,"30-60, Bangalore, Education","70%, Negative"
Trade Show,2462,2,12:00 - 22:00,2024-10-30,2024-10-31,"30-60, Bangalore, Education","75%, Neutral"
Conference,1588,4,10:00 - 18:00,2024-12-19,2024-12-22,"18-25, Indore, Tech","85%, Positive"
Festival,6688,1,10:00 - 18:00,2024-12-31,2024-12-31,"30-60, Bangalore, Education","75%, Neutral"
Festival,3849,4,09:00 - 17:00,2024-11-26,2024-11-29,"25-50, Delhi, Business","80%, Negative"
Festival,1085,1,10:00 - 18:00,2024-10-14,2024-10-14,"25-50, Delhi, Business","80%, Negative"
Seminar,105,4,10:00 - 18:00,2025-01-24,2025-01-27,"30-60, Bangalore, Education","80%, Negative"
Seminar,315,1,12:00 - 22:00,2024-12-20,2024-12-20,"18-25, Indore, Tech","85%, Positive"
Conference,1724,3,10:00 - 18:00,2024-11-30,2024-12-02,"30-60, Bangalore, Education","95%, Positive"
Conference,1768,2,10:00 - 18:00,2024-12-09,2024-12-10,"18-35, Maharashtra, Arts","95%, Positive"
Trade Show,2929,3,10:00 - 18:00,2024-11-20,2024-11-22,"18-25, Indore, Tech","85%, Positive"
Seminar,978,4,09:00 - 17:00,2025-01-22,2025-01-25,"30-60, Bangalore, Education","80%, Negative"
Festival,4918,3,14:00 - 20:00,2024-10-09,2024-10-11,"18-25, Indore, Tech","85%, Positive"
Festival,3169,3,14:00 - 20:00,2024-11-27,2024-11-29,"18-35, Maharashtra, Arts","95%, Positive"
Seminar,441,1,10:00 - 18:00,2024-10-24,2024-10-24,"30-60, Bangalore, Education","75%, Neutral"
Seminar,761,2,09:00 - 17:00,2024-12-08,2024-12-09,"18-35, Maharashtra, Arts","80%, Negative"
Seminar,509,1,10:00 - 18:00,2025-01-01,2025-01-01,"18-35, Maharashtra, Arts","80%, Negative"
Festival,6206,4,10:00 - 18:00,2024-12-22,2024-12-25,"18-25, Indore, Tech","85%, Positive"
Conference,1715,3,09:00 - 17:00,2024-11-23,2024-11-25,"30-60, Bangalore, Education","75%, Neutral"
Festival,6356,2,10:00 - 18:00,2024-11-19,2024-11-20,"18-25, Indore, Tech","75%, Neutral"
Trade Show,2025,2,14:00 - 20:00,2024-10-29,2024-10-30,"20-45, Mumbai, Sports","75%, Neutral"
Seminar,900,3,12:00 - 22:00,2024-10-12,2024-10-14,"20-45, Mumbai, Sports","95%, Positive"
Conference,1721,2,10:00 - 18:00,2024-12-24,2024-12-25,"25-50, Delhi, Business","70%, Negative"
Festival,4207,3,12:00 - 22:00,2024-11-23,2024-11-25,"25-50, Delhi, Business","75%, Neutral"
Seminar,409,4,09:00 - 17:00,2024-12-15,2024-12-18,"20-45, Mumbai, Sports","80%, Negative"
Seminar,267,4,09:00 - 17:00,2025-01-19,2025-01-22,"25-50, Delhi, Business","70%, Negative"
Conference,1059,2,10:00 - 18:00,2024-11-04,2024-11-05,"18-35, Maharashtra, Arts","75%, Neutral"
Trade Show,2132,2,14:00 - 20:00,2024-11-28,2024-11-29,"20-45, Mumbai, Sports","80%, Negative"
Festival,6075,2,10:00 - 18:00,2024-11-07,2024-11-08,"18-25, Indore, Tech","95%, Positive"
Seminar,849,4,12:00 - 22:00,2024-10-15,2024-10-18,"25-50, Delhi, Business","70%, Negative"
Conference,1395,3,10:00 - 18:00,2024-12-20,2024-12-22,"25-50, Delhi, Business","85%, Positive"
Festival,1196,1,12:00 - 22:00,2025-01-15,2025-01-15,"25-50, Delhi, Business","75%, Neutral"
Festival,3552,1,10:00 - 18:00,2024-12-23,2024-12-23,"25-50, Delhi, Business","85%, Positive"
Trade Show,2055,2,14:00 - 20:00,2024-12-13,2024-12-14,"25-50, Delhi, Business","80%, Negative"
Festival,5493,2,09:00 - 17:00,2025-01-10,2025-01-11,"18-35, Maharashtra, Arts","80%, Negative"
Conference,1574,2,10:00 - 18:00,2024-11-09,2024-11-10,"18-35, Maharashtra, Arts","95%, Positive"
Festival,5365,4,10:00 - 18:00,2024-11-27,2024-11-30,"30-60, Bangalore, Education","75%, Neutral"
Seminar,847,4,09:00 - 17:00,2024-10-03,2024-10-06,"18-35, Maharashtra, Arts","70%, Negative"
Trade Show,2600,4,14:00 - 20:00,2024-10-04,2024-10-07,"18-25, Indore, Tech","80%, Negative"
Conference,1004,4,10:00 - 18:00,2025-01-01,2025-01-04,"20-45, Mumbai, Sports","75%, Neutral"
Festival,837,4,12:00 - 22:00,2025-01-26,2025-01-29,"30-60, Bangalore, Education","80%, Negative"
Conference,886,4,10:00 - 18:00,2024-10-18,2024-10-21,"30-60, Bangalore, Education","70%, Negative"
Trade Show,962,3,10:00 - 18:00,2024-12-31,2025-01-02,"18-35, Maharashtra, Arts","95%, Positive"
Seminar,290,3,09:00 - 17:00,2024-11-20,2024-11-22,"18-25, Indore, Tech","85%, Positive"
Conference,1981,3,10:00 - 18:00,2024-11-04,2024-11-06,"30-60, Bangalore, Education","80%, Negative"
Trade Show,1101,1,14:00 - 20:00,2024-10-18,2024-10-18,"18-35, Maharashtra, Arts","80%, Negative"
Festival,5936,1,14:00 - 20:00,2024-12-29,2024-12-29,"18-25, Indore, Tech","80%, Negative"
Festival,3243,4,09:00 - 17:00,2025-01-16,2025-01-19,"25-50, Delhi, Business","85%, Positive"
Seminar,175,4,12:00 - 22:00,2024-10-13,2024-10-16,"25-50, Delhi, Business","80%, Negative"
Trade Show,753,3,10:00 - 18:00,2025-01-05,2025-01-07,"18-25, Indore, Tech","80%, Negative"
Conference,1898,4,09:00 - 17:00,2024-12-17,2024-12-20,"20-45, Mumbai, Sports","85%, Positive"
Conference,1882,3,10:00 - 18:00,2025-01-25,2025-01-27,"30-60, Bangalore, Education","80%, Negative"
Seminar,950,3,09:00 - 17:00,2024-11-19,2024-11-21,"18-35, Maharashtra, Arts","80%, Negative"
Conference,1109,4,10:00 - 18:00,2024-11-21,2024-11-24,"25-50, Delhi, Business","70%, Negative"
Trade Show,2456,1,14:00 - 20:00,2025-01-07,2025-01-07,"25-50, Delhi, Business","80%, Negative"
Seminar,1014,1,09:00 - 17:00,2024-11-16,2024-11-16,"25-50, Delhi, Business","95%, Positive"
Festival,4888,1,10:00 - 18:00,2024-12-16,2024-12-16,"18-25, Indore, Tech","85%, Positive"
Trade Show,1758,2,10:00 - 18:00,2024-11-22,2024-11-23,"20-45, Mumbai, Sports","95%, Positive"
Conference,426,2,10:00 - 18:00,2024-11-13,2024-11-14,"20-45, Mumbai, Sports","75%, Neutral"
Trade Show,2218,3,10:00 - 18:00,2024-10-01,2024-10-03,"18-25, Indore, Tech","75%, Neutral"
Festival,1803,2,14:00 - 20:00,2024-10-20,2024-10-21,"18-35, Maharashtra, Arts","85%, Positive"
Trade Show,1201,2,12:00 - 22:00,2024-11-15,2024-11-16,"20-45, Mumbai, Sports","75%, Neutral"
Seminar,671,4,10:00 - 18:00,2024-11-15,2024-11-18,"30-60, Bangalore, Education","80%, Negative"
Conference,1959,4,10:00 - 18:00,2025-01-09,2025-01-12,"18-35, Maharashtra, Arts","95%, Positive"
Festival,1428,4,09:00 - 17:00,2024-10-03,2024-10-06,"18-25, Indore, Tech","75%, Neutral"
Seminar,116,3,09:00 - 17:00,2025-01-20,2025-01-22,"18-35, Maharashtra, Arts","80%, Negative"
Festival,1109,2,09:00 - 17:00,2024-12-23,2024-12-24,"30-60, Bangalore, Education","85%, Positive"
Trade Show,628,2,14:00 - 20:00,2024-12-15,2024-12-16,"18-35, Maharashtra, Arts","85%, Positive"
Festival,6024,4,12:00 - 22:00,2024-12-21,2024-12-24,"30-60, Bangalore, Education","85%, Positive"
Seminar,1165,4,10:00 - 18:00,2025-01-23,2025-01-26,"25-50, Delhi, Business","75%, Neutral"
Trade Show,2224,4,10:00 - 18:00,2025-01-10,2025-01-13,"18-25, Indore, Tech","80%, Negative"
Seminar,312,3,10:00 - 18:00,2024-12-16,2024-12-18,"30-60, Bangalore, Education","85%, Positive"
Festival,4942,4,12:00 - 22:00,2025-01-15,2025-01-18,"25-50, Delhi, Business","70%, Negative"
Conference,1037,4,10:00 - 18:00,2024-11-02,2024-11-05,"18-25, Indore, Tech","75%, Neutral"
Festival,2034,4,12:00 - 22:00,2024-10-16,2024-10-19,"25-50, Delhi, Business","95%, Positive"
Seminar,284,2,09:00 - 17:00,2024-10-28,2024-10-29,"25-50, Delhi, Business","95%, Positive"
Seminar,541,4,12:00 - 22:00,2024-11-11,2024-11-14,"18-35, Maharashtra, Arts","85%, Positive"
Trade Show,843,4,10:00 - 18:00,2024-12-30,2025-01-02,"18-35, Maharashtra, Arts","85%, Positive"
Trade Show,1182,2,10:00 - 18:00,2024-10-30,2024-10-31,"18-25, Indore, Tech","75%, Neutral"
