Event Type,Event Size (Attendees),Event Duration (Days),Event Schedule (Start - End),"Participant Demographics (Age, Location, Interests)","Participant Engagement Metrics (Attendance, Feedback)"
Seminar,3460,1,19:00 - 22:00,"16-30, Banglore, Music","90%, Very Positive"
Seminar,3797,4,19:00 - 22:00,"18-35, Maharashtra, Arts","75%, Neutral"
Conference,6719,2,09:00 - 17:00,"18-25, Indore, Tech","90%, Very Positive"
Festival,5384,4,10:00 - 18:00,"16-30, Banglore, Music","75%, Neutral"
Festival,2544,4,08:00 - 16:00,"20-45, Mumbai, Sports","75%, Neutral"
Trade Show,2583,4,12:00 - 22:00,"30-50, Delhi, Education","70%, Mixed"
Workshop,8163,2,08:00 - 16:00,"16-30, Banglore, Music","70%, Mixed"
Trade Show,160,3,19:00 - 22:00,"18-25, Indore, Tech","95%, Positive"
Workshop,8435,2,19:00 - 22:00,"18-25, Indore, Tech","70%, Mixed"
Seminar,4139,3,12:00 - 22:00,"16-30, Banglore, Music","75%, Neutral"
Workshop,5212,4,09:00 - 17:00,"20-45, Mumbai, Sports","85%, Positive"
Conference,2279,1,08:00 - 16:00,"16-30, Banglore, Music","80%, Negative"
Trade Show,7973,1,12:00 - 22:00,"16-30, Banglore, Music","90%, Very Positive"
Trade Show,1562,1,14:00 - 20:00,"20-45, Mumbai, Sports","70%, Mixed"
Seminar,1654,2,12:00 - 22:00,"18-25, Indore, Tech","95%, Positive"
Workshop,867,2,12:00 - 22:00,"25-40, Bhopal, Business","95%, Positive"
Trade Show,562,3,10:00 - 18:00,"25-40, Bhopal, Business","80%, Negative"
Webinar,1965,3,19:00 - 22:00,"16-30, Banglore, Music","75%, Neutral"
Trade Show,6512,2,10:00 - 18:00,"18-25, Indore, Tech","80%, Negative"
Conference,4544,1,14:00 - 20:00,"20-45, Mumbai, Sports","80%, Negative"
Webinar,4102,4,09:00 - 17:00,"20-45, Mumbai, Sports","70%, Mixed"
Concert,3185,2,12:00 - 22:00,"18-25, Indore, Tech","80%, Negative"
Festival,6981,3,10:00 - 18:00,"16-30, Banglore, Music","90%, Very Positive"
Webinar,4969,3,19:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Festival,5293,1,08:00 - 16:00,"30-50, Delhi, Education","75%, Neutral"
Conference,2756,4,12:00 - 22:00,"30-50, Delhi, Education","80%, Negative"
Concert,1048,2,14:00 - 20:00,"16-30, Banglore, Music","90%, Very Positive"
Festival,4913,4,19:00 - 22:00,"16-30, Banglore, Music","95%, Positive"
Workshop,8561,2,19:00 - 22:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Trade Show,1778,4,10:00 - 18:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Trade Show,6112,4,10:00 - 18:00,"18-35, Maharashtra, Arts","70%, Mixed"
Conference,6045,1,10:00 - 18:00,"18-25, Indore, Tech","75%, Neutral"
Workshop,4703,3,12:00 - 22:00,"16-30, Banglore, Music","95%, Positive"
Festival,8194,2,19:00 - 22:00,"18-25, Indore, Tech","95%, Positive"
Seminar,8132,1,19:00 - 22:00,"25-40, Bhopal, Business","75%, Neutral"
Workshop,6349,4,14:00 - 20:00,"30-50, Delhi, Education","85%, Positive"
Webinar,679,4,12:00 - 22:00,"20-45, Mumbai, Sports","90%, Very Positive"
Festival,5208,1,14:00 - 20:00,"25-40, Bhopal, Business","95%, Positive"
Conference,4650,1,12:00 - 22:00,"20-45, Mumbai, Sports","80%, Negative"
Seminar,6557,3,14:00 - 20:00,"20-45, Mumbai, Sports","90%, Very Positive"
Trade Show,9309,1,12:00 - 22:00,"25-40, Bhopal, Business","80%, Negative"
Conference,1318,4,09:00 - 17:00,"18-25, Indore, Tech","75%, Neutral"
Seminar,9768,2,08:00 - 16:00,"25-40, Bhopal, Business","90%, Very Positive"
Webinar,7813,3,12:00 - 22:00,"16-30, Banglore, Music","80%, Negative"
Festival,9476,4,19:00 - 22:00,"16-30, Banglore, Music","75%, Neutral"
Workshop,7030,3,12:00 - 22:00,"16-30, Banglore, Music","95%, Positive"
Seminar,6080,4,08:00 - 16:00,"18-25, Indore, Tech","85%, Positive"
Festival,2795,1,14:00 - 20:00,"18-35, Maharashtra, Arts","70%, Mixed"
Trade Show,538,4,10:00 - 18:00,"18-35, Maharashtra, Arts","80%, Negative"
Seminar,8891,1,19:00 - 22:00,"30-50, Delhi, Education","90%, Very Positive"
Concert,6334,4,08:00 - 16:00,"18-35, Maharashtra, Arts","75%, Neutral"
Conference,8777,4,12:00 - 22:00,"20-45, Mumbai, Sports","90%, Very Positive"
Seminar,8697,1,08:00 - 16:00,"16-30, Banglore, Music","70%, Mixed"
Concert,6255,2,12:00 - 22:00,"18-25, Indore, Tech","70%, Mixed"
Conference,4990,1,19:00 - 22:00,"18-35, Maharashtra, Arts","80%, Negative"
Conference,215,1,08:00 - 16:00,"20-45, Mumbai, Sports","90%, Very Positive"
Trade Show,8927,2,14:00 - 20:00,"20-45, Mumbai, Sports","85%, Positive"
Concert,842,3,08:00 - 16:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Seminar,8781,3,09:00 - 17:00,"18-25, Indore, Tech","70%, Mixed"
Trade Show,3509,4,14:00 - 20:00,"20-45, Mumbai, Sports","70%, Mixed"
Webinar,4013,4,12:00 - 22:00,"18-35, Maharashtra, Arts","85%, Positive"
Webinar,2884,1,08:00 - 16:00,"25-40, Bhopal, Business","70%, Mixed"
Festival,7045,2,10:00 - 18:00,"30-50, Delhi, Education","70%, Mixed"
Conference,8568,2,09:00 - 17:00,"30-50, Delhi, Education","70%, Mixed"
Concert,8717,2,12:00 - 22:00,"25-40, Bhopal, Business","70%, Mixed"
Concert,8161,4,08:00 - 16:00,"18-25, Indore, Tech","70%, Mixed"
Festival,9880,4,19:00 - 22:00,"25-40, Bhopal, Business","75%, Neutral"
Trade Show,2764,4,19:00 - 22:00,"30-50, Delhi, Education","70%, Mixed"
Concert,1681,3,19:00 - 22:00,"20-45, Mumbai, Sports","95%, Positive"
Workshop,9381,3,12:00 - 22:00,"25-40, Bhopal, Business","80%, Negative"
Seminar,6978,1,09:00 - 17:00,"18-25, Indore, Tech","95%, Positive"
Concert,2379,2,08:00 - 16:00,"16-30, Banglore, Music","90%, Very Positive"
Trade Show,4557,4,08:00 - 16:00,"25-40, Bhopal, Business","75%, Neutral"
Festival,9384,4,12:00 - 22:00,"25-40, Bhopal, Business","95%, Positive"
Seminar,2044,4,12:00 - 22:00,"20-45, Mumbai, Sports","85%, Positive"
Seminar,3650,2,08:00 - 16:00,"18-25, Indore, Tech","75%, Neutral"
Trade Show,2165,2,19:00 - 22:00,"20-45, Mumbai, Sports","85%, Positive"
Conference,8851,1,09:00 - 17:00,"30-50, Delhi, Education","95%, Positive"
Workshop,2446,3,14:00 - 20:00,"18-35, Maharashtra, Arts","95%, Positive"
Concert,7967,1,08:00 - 16:00,"18-35, Maharashtra, Arts","80%, Negative"
Workshop,6280,4,08:00 - 16:00,"18-35, Maharashtra, Arts","70%, Mixed"
Seminar,3967,2,12:00 - 22:00,"16-30, Banglore, Music","80%, Negative"
Concert,1797,3,08:00 - 16:00,"25-40, Bhopal, Business","80%, Negative"
Trade Show,9749,4,14:00 - 20:00,"25-40, Bhopal, Business","95%, Positive"
Trade Show,7333,3,14:00 - 20:00,"20-45, Mumbai, Sports","75%, Neutral"
Festival,3847,4,09:00 - 17:00,"25-40, Bhopal, Business","80%, Negative"
Trade Show,7465,4,09:00 - 17:00,"20-45, Mumbai, Sports","95%, Positive"
Webinar,227,4,12:00 - 22:00,"18-25, Indore, Tech","90%, Very Positive"
Trade Show,7980,3,14:00 - 20:00,"30-50, Delhi, Education","75%, Neutral"
Conference,5649,4,19:00 - 22:00,"18-25, Indore, Tech","70%, Mixed"
Trade Show,8658,1,14:00 - 20:00,"18-25, Indore, Tech","80%, Negative"
Concert,3543,2,10:00 - 18:00,"25-40, Bhopal, Business","90%, Very Positive"
Festival,6690,4,12:00 - 22:00,"20-45, Mumbai, Sports","80%, Negative"
Festival,1494,1,14:00 - 20:00,"20-45, Mumbai, Sports","80%, Negative"
Trade Show,1938,4,08:00 - 16:00,"30-50, Delhi, Education","95%, Positive"
Trade Show,9393,1,12:00 - 22:00,"18-25, Indore, Tech","75%, Neutral"
Festival,4284,4,09:00 - 17:00,"30-50, Delhi, Education","75%, Neutral"
Festival,3576,1,19:00 - 22:00,"25-40, Bhopal, Business","80%, Negative"
Seminar,4028,3,08:00 - 16:00,"18-35, Maharashtra, Arts","70%, Mixed"
Festival,2435,1,19:00 - 22:00,"18-25, Indore, Tech","75%, Neutral"
Workshop,2531,1,14:00 - 20:00,"16-30, Banglore, Music","95%, Positive"
Seminar,8384,4,10:00 - 18:00,"30-50, Delhi, Education","95%, Positive"
Conference,3701,3,19:00 - 22:00,"30-50, Delhi, Education","80%, Negative"
Seminar,8205,2,12:00 - 22:00,"16-30, Banglore, Music","95%, Positive"
Conference,335,1,12:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Webinar,9673,3,10:00 - 18:00,"18-25, Indore, Tech","85%, Positive"
Concert,5810,4,12:00 - 22:00,"18-35, Maharashtra, Arts","80%, Negative"
Seminar,4729,3,08:00 - 16:00,"16-30, Banglore, Music","75%, Neutral"
Webinar,9859,3,14:00 - 20:00,"18-25, Indore, Tech","80%, Negative"
Concert,5730,2,19:00 - 22:00,"25-40, Bhopal, Business","85%, Positive"
Workshop,9187,3,12:00 - 22:00,"18-35, Maharashtra, Arts","80%, Negative"
Conference,7914,2,19:00 - 22:00,"20-45, Mumbai, Sports","80%, Negative"
Webinar,5519,1,14:00 - 20:00,"18-25, Indore, Tech","95%, Positive"
Concert,8598,2,19:00 - 22:00,"25-40, Bhopal, Business","80%, Negative"
Trade Show,8666,2,19:00 - 22:00,"30-50, Delhi, Education","90%, Very Positive"
Trade Show,4211,4,10:00 - 18:00,"18-35, Maharashtra, Arts","95%, Positive"
Concert,6286,4,14:00 - 20:00,"18-35, Maharashtra, Arts","95%, Positive"
Seminar,6629,4,09:00 - 17:00,"18-35, Maharashtra, Arts","70%, Mixed"
Seminar,3547,1,08:00 - 16:00,"30-50, Delhi, Education","80%, Negative"
Workshop,9203,1,09:00 - 17:00,"18-25, Indore, Tech","95%, Positive"
Concert,3599,1,12:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Festival,8718,1,09:00 - 17:00,"16-30, Banglore, Music","90%, Very Positive"
Workshop,5872,1,14:00 - 20:00,"20-45, Mumbai, Sports","85%, Positive"
Webinar,5782,3,19:00 - 22:00,"18-25, Indore, Tech","85%, Positive"
Conference,599,1,19:00 - 22:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Festival,1182,1,19:00 - 22:00,"25-40, Bhopal, Business","80%, Negative"
Concert,8820,1,08:00 - 16:00,"16-30, Banglore, Music","95%, Positive"
Concert,2267,3,12:00 - 22:00,"25-40, Bhopal, Business","70%, Mixed"
Conference,8703,3,12:00 - 22:00,"30-50, Delhi, Education","70%, Mixed"
Trade Show,5941,4,09:00 - 17:00,"18-25, Indore, Tech","85%, Positive"
Concert,3530,4,09:00 - 17:00,"16-30, Banglore, Music","75%, Neutral"
Concert,7078,2,09:00 - 17:00,"18-25, Indore, Tech","80%, Negative"
Conference,4915,3,08:00 - 16:00,"20-45, Mumbai, Sports","90%, Very Positive"
Conference,4540,3,19:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Trade Show,2089,4,10:00 - 18:00,"18-35, Maharashtra, Arts","70%, Mixed"
Trade Show,5038,2,14:00 - 20:00,"30-50, Delhi, Education","70%, Mixed"
Webinar,7172,1,19:00 - 22:00,"30-50, Delhi, Education","70%, Mixed"
Festival,5280,1,09:00 - 17:00,"18-35, Maharashtra, Arts","80%, Negative"
Trade Show,7473,4,10:00 - 18:00,"20-45, Mumbai, Sports","95%, Positive"
Festival,3461,4,08:00 - 16:00,"25-40, Bhopal, Business","75%, Neutral"
Workshop,4051,3,12:00 - 22:00,"20-45, Mumbai, Sports","70%, Mixed"
Concert,4159,2,12:00 - 22:00,"16-30, Banglore, Music","95%, Positive"
Festival,8783,1,19:00 - 22:00,"25-40, Bhopal, Business","80%, Negative"
Trade Show,9946,1,10:00 - 18:00,"18-25, Indore, Tech","85%, Positive"
Webinar,9631,2,10:00 - 18:00,"30-50, Delhi, Education","75%, Neutral"
Workshop,4883,1,12:00 - 22:00,"18-25, Indore, Tech","70%, Mixed"
Seminar,5760,4,10:00 - 18:00,"25-40, Bhopal, Business","75%, Neutral"
Webinar,326,1,10:00 - 18:00,"25-40, Bhopal, Business","90%, Very Positive"
Webinar,9130,4,19:00 - 22:00,"25-40, Bhopal, Business","85%, Positive"
Workshop,2974,4,12:00 - 22:00,"20-45, Mumbai, Sports","75%, Neutral"
Seminar,8048,4,19:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Webinar,4312,4,09:00 - 17:00,"16-30, Banglore, Music","75%, Neutral"
Seminar,2879,2,09:00 - 17:00,"18-25, Indore, Tech","75%, Neutral"
Webinar,5244,4,09:00 - 17:00,"16-30, Banglore, Music","80%, Negative"
Concert,2328,4,19:00 - 22:00,"18-25, Indore, Tech","85%, Positive"
Webinar,6044,1,09:00 - 17:00,"30-50, Delhi, Education","80%, Negative"
Seminar,3837,2,14:00 - 20:00,"30-50, Delhi, Education","95%, Positive"
Webinar,515,2,08:00 - 16:00,"18-35, Maharashtra, Arts","70%, Mixed"
Concert,4660,1,09:00 - 17:00,"18-35, Maharashtra, Arts","75%, Neutral"
Webinar,3064,2,10:00 - 18:00,"18-35, Maharashtra, Arts","95%, Positive"
Trade Show,3802,1,14:00 - 20:00,"18-25, Indore, Tech","75%, Neutral"
Workshop,3783,3,12:00 - 22:00,"16-30, Banglore, Music","90%, Very Positive"
Concert,4781,1,08:00 - 16:00,"30-50, Delhi, Education","85%, Positive"
Trade Show,2402,1,08:00 - 16:00,"20-45, Mumbai, Sports","90%, Very Positive"
Conference,4286,4,14:00 - 20:00,"16-30, Banglore, Music","90%, Very Positive"
Workshop,7364,3,08:00 - 16:00,"18-35, Maharashtra, Arts","95%, Positive"
Webinar,1142,2,19:00 - 22:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Concert,4761,1,10:00 - 18:00,"30-50, Delhi, Education","95%, Positive"
Concert,3194,1,09:00 - 17:00,"18-25, Indore, Tech","80%, Negative"
Festival,1602,1,12:00 - 22:00,"18-35, Maharashtra, Arts","85%, Positive"
Concert,7220,1,10:00 - 18:00,"20-45, Mumbai, Sports","80%, Negative"
Webinar,904,1,14:00 - 20:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Concert,2027,3,12:00 - 22:00,"30-50, Delhi, Education","85%, Positive"
Workshop,9368,1,10:00 - 18:00,"18-35, Maharashtra, Arts","70%, Mixed"
Workshop,2441,1,14:00 - 20:00,"30-50, Delhi, Education","80%, Negative"
Workshop,5496,2,08:00 - 16:00,"20-45, Mumbai, Sports","95%, Positive"
Concert,5280,2,09:00 - 17:00,"18-25, Indore, Tech","70%, Mixed"
Concert,3377,1,08:00 - 16:00,"18-35, Maharashtra, Arts","95%, Positive"
Conference,1823,3,19:00 - 22:00,"30-50, Delhi, Education","90%, Very Positive"
Workshop,8610,2,12:00 - 22:00,"18-35, Maharashtra, Arts","70%, Mixed"
Conference,3235,1,14:00 - 20:00,"25-40, Bhopal, Business","85%, Positive"
Festival,9357,4,09:00 - 17:00,"25-40, Bhopal, Business","85%, Positive"
Trade Show,7413,4,19:00 - 22:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Conference,9392,2,19:00 - 22:00,"18-25, Indore, Tech","90%, Very Positive"
Webinar,1817,1,10:00 - 18:00,"20-45, Mumbai, Sports","80%, Negative"
Seminar,5864,1,08:00 - 16:00,"25-40, Bhopal, Business","75%, Neutral"
Webinar,1060,1,12:00 - 22:00,"20-45, Mumbai, Sports","90%, Very Positive"
Conference,1416,1,09:00 - 17:00,"30-50, Delhi, Education","95%, Positive"
Concert,5933,2,19:00 - 22:00,"16-30, Banglore, Music","95%, Positive"
Trade Show,2207,3,09:00 - 17:00,"18-35, Maharashtra, Arts","80%, Negative"
Festival,830,1,10:00 - 18:00,"16-30, Banglore, Music","70%, Mixed"
Seminar,1477,3,12:00 - 22:00,"18-35, Maharashtra, Arts","80%, Negative"
Concert,7542,1,08:00 - 16:00,"18-25, Indore, Tech","70%, Mixed"
Webinar,5593,1,19:00 - 22:00,"25-40, Bhopal, Business","85%, Positive"
Webinar,7398,2,12:00 - 22:00,"18-25, Indore, Tech","75%, Neutral"
Concert,8132,4,08:00 - 16:00,"16-30, Banglore, Music","85%, Positive"
Webinar,4428,2,09:00 - 17:00,"16-30, Banglore, Music","95%, Positive"
Festival,6193,1,14:00 - 20:00,"25-40, Bhopal, Business","80%, Negative"
Workshop,4788,1,08:00 - 16:00,"20-45, Mumbai, Sports","75%, Neutral"
Seminar,4797,1,09:00 - 17:00,"30-50, Delhi, Education","75%, Neutral"
Festival,5793,3,14:00 - 20:00,"16-30, Banglore, Music","80%, Negative"
Trade Show,9553,1,09:00 - 17:00,"20-45, Mumbai, Sports","95%, Positive"
Concert,2247,4,12:00 - 22:00,"20-45, Mumbai, Sports","80%, Negative"
Concert,4533,1,19:00 - 22:00,"20-45, Mumbai, Sports","90%, Very Positive"
Seminar,8800,1,12:00 - 22:00,"16-30, Banglore, Music","80%, Negative"
Workshop,1518,4,14:00 - 20:00,"18-35, Maharashtra, Arts","70%, Mixed"
Seminar,3598,2,19:00 - 22:00,"25-40, Bhopal, Business","70%, Mixed"
Trade Show,7069,4,10:00 - 18:00,"18-25, Indore, Tech","85%, Positive"
Workshop,8066,4,12:00 - 22:00,"16-30, Banglore, Music","90%, Very Positive"
Conference,8392,3,14:00 - 20:00,"20-45, Mumbai, Sports","95%, Positive"
Festival,9235,4,14:00 - 20:00,"30-50, Delhi, Education","90%, Very Positive"
Seminar,4137,1,09:00 - 17:00,"16-30, Banglore, Music","70%, Mixed"
Conference,8106,3,12:00 - 22:00,"30-50, Delhi, Education","75%, Neutral"
Seminar,9833,4,08:00 - 16:00,"18-25, Indore, Tech","95%, Positive"
Webinar,136,4,08:00 - 16:00,"20-45, Mumbai, Sports","75%, Neutral"
Workshop,2000,4,08:00 - 16:00,"16-30, Banglore, Music","90%, Very Positive"
Conference,3482,1,10:00 - 18:00,"20-45, Mumbai, Sports","95%, Positive"
Workshop,4331,4,10:00 - 18:00,"30-50, Delhi, Education","85%, Positive"
Webinar,8847,2,09:00 - 17:00,"16-30, Banglore, Music","95%, Positive"
Festival,2545,1,09:00 - 17:00,"25-40, Bhopal, Business","75%, Neutral"
Concert,5399,2,08:00 - 16:00,"16-30, Banglore, Music","80%, Negative"
Seminar,7630,4,19:00 - 22:00,"18-25, Indore, Tech","85%, Positive"
Concert,5289,2,09:00 - 17:00,"16-30, Banglore, Music","80%, Negative"
Trade Show,7076,4,19:00 - 22:00,"30-50, Delhi, Education","70%, Mixed"
Seminar,6722,4,10:00 - 18:00,"16-30, Banglore, Music","75%, Neutral"
Workshop,1275,3,10:00 - 18:00,"25-40, Bhopal, Business","75%, Neutral"
Trade Show,5514,3,10:00 - 18:00,"18-35, Maharashtra, Arts","75%, Neutral"
Webinar,6587,1,08:00 - 16:00,"18-25, Indore, Tech","75%, Neutral"
Concert,7159,4,09:00 - 17:00,"18-35, Maharashtra, Arts","80%, Negative"
Seminar,8311,3,10:00 - 18:00,"30-50, Delhi, Education","80%, Negative"
Webinar,2124,1,14:00 - 20:00,"18-35, Maharashtra, Arts","80%, Negative"
Festival,9926,4,09:00 - 17:00,"16-30, Banglore, Music","95%, Positive"
Webinar,8990,3,19:00 - 22:00,"16-30, Banglore, Music","70%, Mixed"
Conference,7287,1,19:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Webinar,2049,2,12:00 - 22:00,"25-40, Bhopal, Business","70%, Mixed"
Conference,2098,4,12:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Concert,8545,4,08:00 - 16:00,"30-50, Delhi, Education","80%, Negative"
Webinar,9377,1,19:00 - 22:00,"30-50, Delhi, Education","90%, Very Positive"
Trade Show,3015,3,12:00 - 22:00,"20-45, Mumbai, Sports","75%, Neutral"
Seminar,6260,2,12:00 - 22:00,"18-25, Indore, Tech","95%, Positive"
Concert,8151,3,19:00 - 22:00,"25-40, Bhopal, Business","90%, Very Positive"
Workshop,2702,3,10:00 - 18:00,"25-40, Bhopal, Business","95%, Positive"
Trade Show,5962,3,12:00 - 22:00,"18-25, Indore, Tech","85%, Positive"
Workshop,6375,2,12:00 - 22:00,"30-50, Delhi, Education","80%, Negative"
Trade Show,1247,3,14:00 - 20:00,"25-40, Bhopal, Business","85%, Positive"
Seminar,2526,1,10:00 - 18:00,"18-25, Indore, Tech","95%, Positive"
Webinar,7257,3,14:00 - 20:00,"30-50, Delhi, Education","90%, Very Positive"
Workshop,3277,3,09:00 - 17:00,"18-25, Indore, Tech","95%, Positive"
Festival,7972,3,08:00 - 16:00,"30-50, Delhi, Education","95%, Positive"
Seminar,2360,2,14:00 - 20:00,"16-30, Banglore, Music","90%, Very Positive"
Webinar,8383,3,14:00 - 20:00,"25-40, Bhopal, Business","85%, Positive"
Concert,8292,3,09:00 - 17:00,"16-30, Banglore, Music","70%, Mixed"
Webinar,5628,2,10:00 - 18:00,"16-30, Banglore, Music","75%, Neutral"
Conference,8910,1,10:00 - 18:00,"20-45, Mumbai, Sports","95%, Positive"
Conference,9828,4,10:00 - 18:00,"18-25, Indore, Tech","95%, Positive"
Trade Show,5363,4,08:00 - 16:00,"30-50, Delhi, Education","95%, Positive"
Conference,3217,4,14:00 - 20:00,"16-30, Banglore, Music","85%, Positive"
Workshop,4373,2,12:00 - 22:00,"30-50, Delhi, Education","85%, Positive"
Conference,9142,3,19:00 - 22:00,"25-40, Bhopal, Business","95%, Positive"
Seminar,6120,3,08:00 - 16:00,"30-50, Delhi, Education","70%, Mixed"
Conference,8509,4,09:00 - 17:00,"20-45, Mumbai, Sports","80%, Negative"
Festival,8331,3,12:00 - 22:00,"25-40, Bhopal, Business","95%, Positive"
Concert,4329,1,09:00 - 17:00,"18-35, Maharashtra, Arts","80%, Negative"
Trade Show,5570,2,10:00 - 18:00,"30-50, Delhi, Education","75%, Neutral"
Trade Show,2402,2,12:00 - 22:00,"20-45, Mumbai, Sports","95%, Positive"
Webinar,3477,2,12:00 - 22:00,"30-50, Delhi, Education","80%, Negative"
Conference,9553,4,09:00 - 17:00,"30-50, Delhi, Education","75%, Neutral"
Seminar,4660,1,10:00 - 18:00,"18-35, Maharashtra, Arts","95%, Positive"
Trade Show,6882,1,10:00 - 18:00,"25-40, Bhopal, Business","75%, Neutral"
Trade Show,3082,4,14:00 - 20:00,"30-50, Delhi, Education","85%, Positive"
Conference,5242,2,14:00 - 20:00,"16-30, Banglore, Music","80%, Negative"
Workshop,6405,1,19:00 - 22:00,"18-35, Maharashtra, Arts","75%, Neutral"
Seminar,4460,2,12:00 - 22:00,"30-50, Delhi, Education","95%, Positive"
Trade Show,5542,2,19:00 - 22:00,"30-50, Delhi, Education","95%, Positive"
Workshop,5638,1,12:00 - 22:00,"16-30, Banglore, Music","70%, Mixed"
Festival,3663,3,14:00 - 20:00,"20-45, Mumbai, Sports","95%, Positive"
Seminar,5123,4,10:00 - 18:00,"16-30, Banglore, Music","95%, Positive"
Conference,9045,1,12:00 - 22:00,"18-35, Maharashtra, Arts","85%, Positive"
Concert,4677,4,12:00 - 22:00,"16-30, Banglore, Music","75%, Neutral"
Workshop,6924,4,14:00 - 20:00,"20-45, Mumbai, Sports","75%, Neutral"
Trade Show,9275,4,12:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Trade Show,1295,4,14:00 - 20:00,"25-40, Bhopal, Business","75%, Neutral"
Festival,3845,1,09:00 - 17:00,"25-40, Bhopal, Business","75%, Neutral"
Workshop,7050,3,08:00 - 16:00,"30-50, Delhi, Education","90%, Very Positive"
Concert,1165,3,09:00 - 17:00,"25-40, Bhopal, Business","85%, Positive"
Workshop,8327,3,19:00 - 22:00,"16-30, Banglore, Music","85%, Positive"
Concert,4642,3,12:00 - 22:00,"25-40, Bhopal, Business","75%, Neutral"
Seminar,8354,4,14:00 - 20:00,"30-50, Delhi, Education","85%, Positive"
Workshop,8204,1,10:00 - 18:00,"25-40, Bhopal, Business","70%, Mixed"
Concert,4111,3,08:00 - 16:00,"18-25, Indore, Tech","95%, Positive"
Conference,8559,4,08:00 - 16:00,"18-25, Indore, Tech","95%, Positive"
Festival,3793,1,14:00 - 20:00,"16-30, Banglore, Music","95%, Positive"
Seminar,6700,4,09:00 - 17:00,"18-25, Indore, Tech","70%, Mixed"
Conference,2730,3,08:00 - 16:00,"20-45, Mumbai, Sports","80%, Negative"
Festival,2669,1,19:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Workshop,5673,2,14:00 - 20:00,"18-35, Maharashtra, Arts","75%, Neutral"
Workshop,5633,1,19:00 - 22:00,"16-30, Banglore, Music","85%, Positive"
Festival,6712,1,08:00 - 16:00,"16-30, Banglore, Music","80%, Negative"
Trade Show,6929,3,14:00 - 20:00,"18-25, Indore, Tech","95%, Positive"
Workshop,8304,1,14:00 - 20:00,"20-45, Mumbai, Sports","85%, Positive"
Conference,3694,1,10:00 - 18:00,"25-40, Bhopal, Business","85%, Positive"
Workshop,8623,2,09:00 - 17:00,"16-30, Banglore, Music","70%, Mixed"
Webinar,620,4,08:00 - 16:00,"30-50, Delhi, Education","85%, Positive"
Seminar,8861,1,12:00 - 22:00,"25-40, Bhopal, Business","80%, Negative"
Conference,7136,2,10:00 - 18:00,"20-45, Mumbai, Sports","90%, Very Positive"
Trade Show,5608,4,12:00 - 22:00,"18-35, Maharashtra, Arts","70%, Mixed"
Conference,5577,2,14:00 - 20:00,"20-45, Mumbai, Sports","85%, Positive"
Trade Show,1880,2,09:00 - 17:00,"18-35, Maharashtra, Arts","95%, Positive"
Festival,631,1,12:00 - 22:00,"30-50, Delhi, Education","90%, Very Positive"
Seminar,2545,4,09:00 - 17:00,"16-30, Banglore, Music","90%, Very Positive"
Seminar,2698,3,12:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Concert,3246,2,12:00 - 22:00,"20-45, Mumbai, Sports","80%, Negative"
Seminar,9592,4,19:00 - 22:00,"16-30, Banglore, Music","90%, Very Positive"
Conference,2855,2,09:00 - 17:00,"18-35, Maharashtra, Arts","85%, Positive"
Workshop,4224,1,08:00 - 16:00,"18-25, Indore, Tech","80%, Negative"
Workshop,1085,3,08:00 - 16:00,"18-25, Indore, Tech","75%, Neutral"
Seminar,4047,3,10:00 - 18:00,"25-40, Bhopal, Business","95%, Positive"
Festival,1537,2,09:00 - 17:00,"30-50, Delhi, Education","95%, Positive"
Trade Show,102,1,12:00 - 22:00,"16-30, Banglore, Music","75%, Neutral"
Trade Show,3438,4,09:00 - 17:00,"16-30, Banglore, Music","90%, Very Positive"
Festival,4401,2,19:00 - 22:00,"16-30, Banglore, Music","95%, Positive"
Workshop,9634,3,09:00 - 17:00,"20-45, Mumbai, Sports","85%, Positive"
Conference,6988,4,09:00 - 17:00,"16-30, Banglore, Music","95%, Positive"
Trade Show,7621,4,14:00 - 20:00,"30-50, Delhi, Education","70%, Mixed"
Seminar,6195,1,09:00 - 17:00,"16-30, Banglore, Music","80%, Negative"
Trade Show,9376,1,19:00 - 22:00,"25-40, Bhopal, Business","85%, Positive"
Concert,1285,1,09:00 - 17:00,"20-45, Mumbai, Sports","80%, Negative"
Concert,7093,3,19:00 - 22:00,"25-40, Bhopal, Business","90%, Very Positive"
Webinar,7141,4,14:00 - 20:00,"30-50, Delhi, Education","85%, Positive"
